Malware_Types_List,Blacklist_Type_Text,Address_IP,Domain_Name
,,192.254.235.131,dishwasherindiareview.in
,,77.79.239.196,diversclub.pk
,,88.198.59.7,dmaxspeaker.ir
,,192.250.229.18,document.buyandsellaustralia.com.au
,,192.185.108.212,dogmegastore.com
,,184.168.47.225,dollfacemarin.com
,,69.195.124.142,dominionbuilder.com
,,46.22.145.58,dom-milidom.co.rs
,,69.195.124.109,douglasstrelshiklaw.com
,,173.254.82.241,downlodabols.com
,,192.185.148.192,dreamtechnology.com.ar
,,148.251.20.89,dr-mohammadzadeh.com
,,92.242.132.15,dropboxfilezilla.info
,,107.180.54.175,drpb22.com
,,74.85.244.2,dsscteam.com
,,109.205.140.13,dueroclic.es
,,192.185.13.193,dukesglobaltravel.com
,,119.18.48.37,durvaengineeringworks.in
,,67.222.158.172,dvmyanmar.com
,,192.185.108.212,eastcoastmulch.com
,,23.229.134.224,easyaccessspringfield.org
,,199.195.146.189,economyautollc.com
,,5.153.10.230,ecspoc.com
,,199.7.109.82,ecustoms-hmrc.com
,,95.110.234.179,edilkom.it
,,209.151.129.175,e-easi.com
,,176.114.1.15,elektrodvigatel.com.ua
,,92.240.253.107,eletiskolaja.eu
,,192.232.249.212,elhelaltrade.com
,,192.185.17.207,elimiscar.com
,,207.210.203.123,eliteasianintroductions.com
,,207.210.203.123,elitejewishintroductions.com
,,207.210.203.123,eliteseniorsintroductions.com
,,50.116.112.157,elyanefiuza.com.br
,,72.47.228.108,embarcadero.com.mx
,,192.185.184.63,emergencyvesselsinternational.com
,,5.150.141.164,emmegi-heat-exchangers.com
,,192.185.108.212,emmveetuffglass.com
,,149.3.144.212,emozionidiviaggievacanze.it
,,192.185.51.96,empireprairieweather.com
,,200.219.245.141,empreiteirapaulistana.com.br
,,143.95.41.146,energyproactive.com
,,192.185.216.126,engsiqueira.com.br
,,92.242.132.15,en-skrill.com
,,192.185.108.212,epassapp.com
,,69.89.31.81,equestrianconsulting.com
,,192.185.108.212,eskalaunocien.com
,,192.185.179.102,eskepictureframing.com
,,192.185.83.90,estate.websitewelcome.com
,,198.20.224.220,eurolabpal.com
,,63.247.87.242,everesttouch.com.np
,,192.185.108.212,exoticcelebrations.com
,,176.9.41.162,expotrasosmontes.com
,,92.242.132.15,expresstag.adsoft-solutions.ro
,,67.225.140.60,faadulyricz.com
,,67.225.140.60,fab2fam.com
,,109.95.156.4,fabrykaedukacji.pl
,,,facebo0k.fr
,,173.236.156.169,facture.mons-esapceclients.com
,,209.99.40.222,familysunglasses.com
,,186.202.127.109,fantasiabaloes.com.br
,,50.62.56.87,fareastnationalsingapore.com
,,192.185.108.212,fashionseallabcoat.net
,,192.185.108.212,fashionseallabcoats.com
,,192.185.108.212,fashionsealscrub.com
,,192.185.108.212,fashionsealscrub.net
,,191.252.4.20,favelanamoda.com.br
,,131.100.50.4,fazendamimosa.com.br
,,194.150.248.52,fcwangen.ch
,,216.172.168.186,fcwpc.com
,,125.214.76.151,feefromrefund.com.au
,,107.180.24.242,feelvo.com
,,81.19.145.30,fernsicht.cc
,,192.185.108.212,ferretmegastore.com
,,81.31.45.77,fhl.sputnik-brno.cz
,,64.64.9.25,filehelp.org
,,195.210.46.199,finstatus.kz
,,192.185.108.212,fishmegastore.com
,,63.247.87.242,fitness.com.np
,,192.185.108.212,fixfoundationnj.com
,,68.171.217.250,flayconcepts.com
,,192.186.250.41,floresdeleste.com
,,131.100.50.4,folksnetnografica.com.br
,,192.185.179.102,foodboxcolombia.com
,,5.9.114.125,forexdn.com
,,192.185.108.212,formanstudios.com
,,131.100.50.4,forteembalagens.com
,,192.185.216.124,forteservicosce.com.br
,,131.100.50.4,forumsantuario.com
,,131.100.50.4,fourtechbrasil.com.br
,,87.229.98.18,foxtravel.hu
,,87.229.26.126,fp.creedy.hu
,,192.185.108.212,frankmazzogc.com
,,184.168.47.225,freelance4projects.com
,,68.178.254.145,fresnoresearch.com
,,149.126.74.20,fuegostudios.com.au
,,192.185.51.96,funkchampions.com
,,107.180.54.182,funnelvisionaries.net
,,212.113.133.56,futuress.com
,,50.63.202.39,gaelorinalledescytises.org
,,69.89.31.238,gaiaelements.com
,,131.100.50.4,gazzettatalent.com.br
,,131.100.50.4,gazzettatalent.net
,,209.99.40.223,gednetwork.net
,,50.87.152.104,geekaybio.com
,,125.253.113.210,giaretour.com
,,192.185.108.212,ginzasushiportorange.com
,,125.253.113.210,gioxachbat.com
,,190.8.176.186,globalmfarmaceutica.com
,,198.58.92.228,globomant.com
,,160.153.162.16,goodluck.howtoflyairplanes.com
,,192.185.216.126,grae.com.br
,,131.100.50.4,graficabrindes.com
,,173.199.120.43,gramcare.com
,,94.247.31.250,gramesa.net
,,202.22.163.23,grannys.com.au
,,216.239.138.159,greeksuperpatch.com
,,62.141.48.252,grundschule-moellenhagen.de
,,70.40.200.242,guia.oitcinterfor.org
,,185.116.212.70,habit-mag.co.uk
,,212.113.133.235,hairaisers.com
,,78.129.155.106,harmaintravels.co.uk
,,5.77.63.52,harshithadoors.com
,,112.137.167.245,hartanahmalaysia.info
,,192.185.184.43,helicoptershq.com
