domain,concept,datasourcename,updtdttm,first_observed_date,total_observations,city,pedigree,confidence_score,datauploadid,segment,netspeed,referential,coordinates,govdatevett,most_recent_observation_time,total_capabilities,insrtdttm,geo_longitude,countryabbrv,commvett,active_boolean,first_observed_time,date,ipaddress,geo_latitude,commdatevett,offenderclass,network_asn,ipaddress_int,govvett,country,isp,uuid,piplelineid,most_recent_observation_date,network_class,threat_score,cog,blranking,model,network_type
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,138.128.160.106,,,,,,,,,,,2014-05-16,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,72.167.131.161,,,,,,,,,,,2007-07-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.227.253.225,,,,,,,,,,,2008-01-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.233.1,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,66.7.196.148,,,,,,,,,,,2006-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.48.228,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,195.248.254.4,,,,,,,,,,,2007-03-30,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.26,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.59.133.238,,,,,,,,,,,2004-07-27,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,62.129.201.157,,,,,,,,,,,2002-11-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,5.10.68.190,,,,,,,,,,,2012-04-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.54.251,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.43.1,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,7.106.63.113,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.162.73.226,,,,,,,,,,,2008-06-27,,,,,,
,,,,,,,,,,,,,,,,,,,PT,,,,,4.126.173.11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,148.163.127.107,,,,,,,,,,,2014-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.250.229.18,,,,,,,,,,,2013-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,66.147.244.55,,,,,,,,,,,2008-05-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.95.41.121,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,PT,,,,,5.206.231.158,,,,,,,,,,,2012-09-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.167.143.134,,,,,,,,,,,2011-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.35,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.167.200.11,,,,,,,,,,,2011-06-13,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,31.170.160.129,,,,,,,,,,,2011-03-30,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.195.124.87,,,,,,,,,,,2010-07-01,,,,,,
,,,,,,,,,,,,,,,,,,,PA,,,,,181.224.135.74,,,,,,,,,,,2012-10-25,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,177.185.192.125,,,,,,,,,,,2012-08-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.213.182,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.89.4,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,VG,,,,,208.91.197.132,,,,,,,,,,,2011-04-15,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.175.157.44,,,,,,,,,,,2012-02-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.90.66.200,,,,,,,,,,,2003-11-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,162.144.120.45,,,,,,,,,,,2013-03-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.225.166.81,,,,,,,,,,,2007-11-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,64.20.40.34,,,,,,,,,,,2005-04-07,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.218.125,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,125.253.113.210,,,,,,,,,,,2010-12-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.152.104,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,148.163.99.29,,,,,,,,,,,2014-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,NZ,,,,,119.47.118.22,,,,,,,,,,,2008-01-16,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.150.72,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,LU,,,,,37.230.114.67,,,,,,,,,,,2012-04-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.116.112.158,,,,,,,,,,,2011-09-07,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.13.189,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,162.144.67.106,,,,,,,,,,,2013-03-01,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.154.248.248,,,,,,,,,,,2012-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.152.104,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.15.116.243,,,,,,,,,,,2012-07-20,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.3.111,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.94.224,,,,,,,,,,,2008-07-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.86.238,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.142.146,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,SG,,,,,182.50.129.72,,,,,,,,,,,2010-02-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.194.234.84,,,,,,,,,,,2010-07-30,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,185.2.4.29,,,,,,,,,,,2012-09-17,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.163.221.134,,,,,,,,,,,2013-02-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.122,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.179.192.192,,,,,,,,,,,2012-04-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,166.62.118.179,,,,,,,,,,,2012-11-14,,,,,,
,,,,,,,,,,,,,,,,,,,BY,,,,,78.159.242.67,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.167.172.175,,,,,,,,,,,2011-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,70.40.202.133,,,,,,,,,,,2008-10-03,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.36,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,221.121.153.135,,,,,,,,,,,2009-10-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.225.61,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,79.170.44.135,,,,,,,,,,,2007-09-24,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,187.45.180.235,,,,,,,,,,,2009-08-06,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,185.2.4.21,,,,,,,,,,,2012-09-17,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,LT,,,,,185.28.20.238,,,,,,,,,,,2013-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,BG,,,,,87.121.52.156,,,,,,,,,,,2005-07-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,104.27.172.126,,,,,,,,,,,2014-03-28,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.177.60,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,FI,,,,,217.149.52.10,,,,,,,,,,,2004-06-03,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,160.153.60.36,,,,,,,,,,,2011-09-01,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,74.124.200.237,,,,,,,,,,,2007-03-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,79.170.44.125,,,,,,,,,,,2007-09-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,159.8.9.42,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CA,,,,,192.99.18.100,,,,,,,,,,,2013-06-17,,,,,,
,,,,,,,,,,,,,,,,,,,SG,,,,,119.81.131.166,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.122,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.167.172.32,,,,,,,,,,,2009-02-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.122,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,5.9.94.34,,,,,,,,,,,2012-04-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.116.112.168,,,,,,,,,,,2011-09-07,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.33,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,62.149.128.154,,,,,,,,,,,2000-01-01,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,37.58.85.56,,,,,,,,,,,2012-01-16,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,212.48.78.154,,,,,,,,,,,2012-08-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,166.62.28.94,,,,,,,,,,,2012-11-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,166.62.28.137,,,,,,,,,,,2012-11-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.79.62.190,,,,,,,,,,,2012-01-13,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.143.100.22,,,,,,,,,,,2012-04-20,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,74.220.215.207,,,,,,,,,,,2007-01-09,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,FR,,,,,62.210.16.62,,,,,,,,,,,2000-10-26,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,68.171.217.250,,,,,,,,,,,2009-02-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,85.128.135.13,,,,,,,,,,,2004-11-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.244.176,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.189.211,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,104.166.72.18,,,,,,,,,,,2014-08-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.95.45.219,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,MX,,,,,201.175.20.195,,,,,,,,,,,2007-05-15,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,72.10.48.48,,,,,,,,,,,2004-10-19,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.116.112.159,,,,,,,,,,,2011-09-07,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,159.100.184.131,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MX,,,,,201.175.20.195,,,,,,,,,,,2007-05-15,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.236.44.34,,,,,,,,,,,2010-03-23,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,182.160.154.164,,,,,,,,,,,2010-03-31,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.35.52.138,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.218.132,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.61,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.104.150,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,TH,,,,,22.154.18.92,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.118.4,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,09.228.4.170,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PL,,,,,46.41.144.115,,,,,,,,,,,2010-07-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.125,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BG,,,,,109.73.236.38,,,,,,,,,,,2009-10-16,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.254.28.137,,,,,,,,,,,2010-10-05,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,62.149.128.160,,,,,,,,,,,2000-01-01,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,62.149.128.74,,,,,,,,,,,2000-01-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.73.180.180,,,,,,,,,,,2003-11-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.254.28.130,,,,,,,,,,,2010-10-05,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.154.248.137,,,,,,,,,,,2012-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,46.4.1.66,,,,,,,,,,,2010-08-19,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.221.42,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,TH,,,,,119.59.120.55,,,,,,,,,,,2011-02-04,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,104.152.68.156,,,,,,,,,,,2014-07-11,,,,,,
,,,,,,,,,,,,,,,,,,,AT,,,,,81.19.145.40,,,,,,,,,,,2005-11-18,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,114.215.87.11,,,,,,,,,,,2008-07-04,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.59.243.120,,,,,,,,,,,2010-12-09,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.167.165.141,,,,,,,,,,,2011-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.124,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.228.244.2,,,,,,,,,,,2007-11-07,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.202.49,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,LT,,,,,31.220.16.156,,,,,,,,,,,2011-05-10,,,,,,
,,,,,,,,,,,,,,,,,,,TR,,,,,185.51.164.62,,,,,,,,,,,2014-03-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.185.178,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,65.39.182.150,,,,,,,,,,,2002-06-21,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,187.45.182.82,,,,,,,,,,,2009-08-06,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.152.212,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.136.58.242,,,,,,,,,,,2012-04-03,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,188.40.239.38,,,,,,,,,,,2009-04-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.34,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,174.121.164.66,,,,,,,,,,,2009-03-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.167.188.159,,,,,,,,,,,2011-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.57.149.32,,,,,,,,,,,2012-07-27,,,,,,
,,,,,,,,,,,,,,,,,,,SI,,,,,95.246.8.32,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,202.22.163.23,,,,,,,,,,,2000-12-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.163.217.123,,,,,,,,,,,2013-02-12,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.42,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,143.95.82.235,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,144.76.191.135,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,IL,,,,,2.219.67.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,23.229.183.169,,,,,,,,,,,2013-09-17,,,,,,
,,,,,,,,,,,,,,,,,,,RU,,,,,89.111.177.28,,,,,,,,,,,2006-04-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.150.48,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.172.201.217,,,,,,,,,,,2009-03-17,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,160.153.161.229,,,,,,,,,,,2011-09-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,23.229.192.9,,,,,,,,,,,2013-09-17,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.179.102,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.152.244,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,EU,,,,,83.125.22.169,,,,,,,,,,,2004-10-06,,,,,,
,,,,,,,,,,,,,,,,,,,LT,,,,,31.220.16.17,,,,,,,,,,,2011-05-10,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.38.89.241,,,,,,,,,,,2012-04-20,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.167.180.142,,,,,,,,,,,2011-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,UA,,,,,77.123.131.99,,,,,,,,,,,2006-11-24,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,5.10.68.188,,,,,,,,,,,2012-04-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,166.62.28.103,,,,,,,,,,,2012-11-14,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.218.119,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.199.120.43,,,,,,,,,,,2010-09-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
