domain,concept,datasourcename,updtdttm,first_observed_date,total_observations,city,pedigree,confidence_score,datauploadid,segment,netspeed,referential,coordinates,govdatevett,most_recent_observation_time,total_capabilities,insrtdttm,geo_longitude,countryabbrv,commvett,active_boolean,first_observed_time,date,ipaddress,geo_latitude,commdatevett,offenderclass,network_asn,ipaddress_int,govvett,country,isp,uuid,piplelineid,most_recent_observation_date,network_class,threat_score,cog,blranking,model,network_type
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.175.157.44,,,,,,,,,,,2012-02-28,,,,,,
,,,,,,,,,,,,,,,,,,,SG,,,,,119.81.50.203,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,72.167.183.17,,,,,,,,,,,2007-07-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.199.120.43,,,,,,,,,,,2010-09-29,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,5.77.63.52,,,,,,,,,,,2012-06-13,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.162.73.226,,,,,,,,,,,2008-06-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.144.207,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,112.213.89.30,,,,,,,,,,,2009-02-20,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.15.115.235,,,,,,,,,,,2012-07-20,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.225.140.60,,,,,,,,,,,2007-11-26,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,5.77.63.52,,,,,,,,,,,2012-06-13,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.250.225.49,,,,,,,,,,,2013-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,BG,,,,,37.60.255.97,,,,,,,,,,,2012-01-20,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.186.250.8,,,,,,,,,,,2013-08-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.77.116,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.116.248.176,,,,,,,,,,,2011-05-09,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,64.92.125.39,,,,,,,,,,,2002-05-30,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.121,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,162.144.77.64,,,,,,,,,,,2013-03-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,162.144.35.222,,,,,,,,,,,2013-03-01,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,78.129.155.106,,,,,,,,,,,2007-04-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.50.169,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,HU,,,,,79.172.211.3,,,,,,,,,,,2007-10-25,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,178.63.48.9,,,,,,,,,,,2010-03-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,216.172.172.182,,,,,,,,,,,2011-06-28,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.225.140.60,,,,,,,,,,,2007-11-26,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.124,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.126,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,176.32.230.26,,,,,,,,,,,2011-05-24,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,17.160.197.65,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,208.86.253.147,,,,,,,,,,,2008-02-07,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.217.115.188,,,,,,,,,,,2012-06-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,160.153.162.17,,,,,,,,,,,2011-09-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,173.195.176.54,,,,,,,,,,,2010-09-17,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,4.141.21.135,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,62.149.128.166,,,,,,,,,,,2000-01-01,,,,,,
,,,,,,,,,,,,,,,,,,,CA,,,,,192.99.210.152,,,,,,,,,,,2013-06-17,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.12.107,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,67.222.3.111,,,,,,,,,,,2008-01-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.123,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,23.229.151.192,,,,,,,,,,,2013-09-17,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,JP,,,,,57.7.107.42,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.28.9.112,,,,,,,,,,,2010-11-04,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.63.147.89,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.116.112.159,,,,,,,,,,,2011-09-07,,,,,,
,,,,,,,,,,,,,,,,,,,ES,,,,,5.134.116.71,,,,,,,,,,,2012-07-10,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SG,,,,,203.124.119.1,,,,,,,,,,,2010-04-19,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,31.170.164.210,,,,,,,,,,,2011-03-30,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,5.77.63.52,,,,,,,,,,,2012-06-13,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.44.156,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.89.31.161,,,,,,,,,,,2006-10-02,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,43.250.248.10,,,,,,,,,,,2014-11-03,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,31.193.3.6,,,,,,,,,,,2011-04-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,148.163.99.29,,,,,,,,,,,2014-06-06,,,,,,
